Feature	Intercept_mean	CV_vegetables_fg_eaten_mean	Intercept_std	CV_vegetables_fg_eaten_std	Intercept_hdi	CV_vegetables_fg_eaten_hdi
7e9ed2c841e64976eace4b578ff56a26	-4.369082454999991	-0.009402638129349996	0.3762066035873414	0.0056256128924779105	(-5.09472, -3.71086)	(-0.0194054, 0.00105377)
a6099802840e60febef8e896967b7747	-6.892906225000005	-0.0006724398477900004	0.11882037191323451	0.0017619596341091582	(-7.11225, -6.6848)	(-0.00390839, 0.00254557)
904ad13c7b8512200836d5cd9fb09e1b	-9.239848040000018	0.004790060259399998	0.3129609178189162	0.004657968243395351	(-9.80615, -8.6328)	(-0.00403904, 0.0132443)
1aab913302590e21a7be28b1494a3320	-9.301960589999986	0.002959076222905	0.1662666525980239	0.0024414323975031535	(-9.61336, -9.00501)	(-0.00157638, 0.00749463)
e644522cf6d7222c9da7f9ecf614cd89	-8.709493465000003	-0.0007793674628069989	0.24874593188380742	0.0036794227076611076	(-9.20259, -8.25026)	(-0.00830636, 0.00581443)
bad4f7c5ada34a1f813946abcfe5c556	-4.3664623350000005	-0.005213405786579993	0.11399864759986306	0.0017122635994737182	(-4.58608, -4.15079)	(-0.00840598, -0.00190343)
399bcf0feb12a20ca0731d8d65268dae	-6.6354687150000045	0.005320844313159982	0.2352613348723051	0.0035269197695454043	(-7.07653, -6.22264)	(-0.00137652, 0.0117082)
32f7e6bfc42fe19c17f9459bd9be4b67	-7.278512085000001	0.0016233254325449988	0.23190209796183983	0.003494791861862691	(-7.69672, -6.83398)	(-0.00472461, 0.00822505)
c942f59feffce9c3ab527135de234101	-5.915134185000005	0.010438088970000021	0.15858302620373876	0.0023838486906993966	(-6.24215, -5.63932)	(0.00594162, 0.0149278)
29bb5fa7f45e47bbabab8cc1b1b3d18e	-9.76541693499999	0.014884878779350005	0.4683960931949108	0.007059616753966361	(-10.6071, -8.91027)	(0.00167199, 0.0274357)
7b2ff5940de11da4dc3bb208805dff11	-8.787739875	0.00599489897980001	0.15980230327700048	0.00236320777467661	(-9.0948, -8.49005)	(0.00172087, 0.0104426)
6c7fa77831ae630967a6fbfc8ee47901	-3.573938250000003	0.0017999223546350022	0.10125086507056381	0.001509043198164452	(-3.74903, -3.38013)	(-0.00108157, 0.00439998)
6c83fec6e8d03fad51eabc871853c991	-7.679671040000001	-0.011097813047699991	0.2943842868150714	0.004430406574608663	(-8.20345, -7.11332)	(-0.0190196, -0.00264816)
23597fea41001255f06321d42aefd3bd	-8.05802964	-0.005420102631900001	0.1824603166619263	0.0027166574100100814	(-8.42677, -7.7212)	(-0.0104027, -0.000208749)
ee02d6d3506da57909d5e603709a295f	-6.942701025000004	0.002750874439763502	0.13093805538535921	0.001960331496669945	(-7.18391, -6.70032)	(-0.000663571, 0.00656289)
e6a34eb113dba66df0b8bbec907a8f5d	-5.776931745000009	0.004221470203199999	0.154049335088487	0.002331313345872851	(-6.07324, -5.50237)	(-0.00015037, 0.00853855)
6c4de756c45fa6e7e5adfe196f9f0039	-5.258032209999986	-0.002924570240325	0.3555191179510824	0.005349760498803186	(-5.91795, -4.59291)	(-0.0128514, 0.00716052)
60c57911662a9159dfdd0fc05d975a55	-4.337847505000002	0.0011977225953049991	0.14068549745167405	0.002105953872854374	(-4.59209, -4.06824)	(-0.00250038, 0.00535404)
1986030e3c5cd5df6d869054bc96e536	-7.0115441850000115	-0.012143169373499978	0.25664663343425287	0.003889943563905096	(-7.49294, -6.52949)	(-0.019865, -0.00498341)
ea3433f2c148c6fae4cc2e9ae197f5b8	-5.1291153849999995	-0.0014900583120399978	0.18480820281619478	0.0027534182016156817	(-5.5026, -4.82074)	(-0.00665993, 0.00367016)
059c8f8bb468064b134ea6d3661761ea	-4.896360620000012	-0.00017497357159000022	0.18908777078149608	0.0028387776049830678	(-5.24994, -4.54737)	(-0.0049791, 0.00563141)
8a9f7499cdb85b8efa497bb56256cb43	-6.175110369999987	-0.0037390904147999965	0.11723878093388343	0.0017383047122568715	(-6.38979, -5.96752)	(-0.00686956, -0.000450393)
8dccd839cf4868a3343e411c063932a6	-8.964681095000003	-0.0031420297490250024	0.2437812388871445	0.003633681856853173	(-9.4289, -8.52106)	(-0.00976003, 0.0040835)
f402919ff0fe53fec5b6ef190f9e42b7	-6.930260519999996	-0.00041477842875500007	0.14349824911137282	0.0021322176972207872	(-7.2018, -6.67211)	(-0.00440149, 0.00338918)
f9382b37fc2cfd3cf606824a235802de	-9.19343198499999	-0.009122410749450015	0.23198927657266769	0.003489092516389308	(-9.60516, -8.74354)	(-0.0158279, -0.00281228)
1664c7d0b9dec6e07df8542c0c4049c7	-8.272944535000013	-0.0032991616793599963	0.20355146916341285	0.003048323898804422	(-8.63799, -7.8822)	(-0.00881476, 0.00241419)
3e5f388f7ad4f160c2a1cdd1441d00c0	-6.5258385999999975	-0.0002596139189050003	0.14338670624168753	0.002137056957267005	(-6.81243, -6.27121)	(-0.00435033, 0.00365729)
f5706d9ec821f971e4c08ee992995b40	-7.715073374999997	-0.0029974449671499983	0.25609639914016596	0.003798782670343494	(-8.19543, -7.24204)	(-0.00984202, 0.0043139)
138eb7703e1255cf29760a4440de2a47	-8.238640040000009	-0.005820346478274995	0.20469813605550582	0.0030323115243752153	(-8.6477, -7.90121)	(-0.0119632, -0.000651693)
56c3d1a8e4dc5c2aa7afbc1563559448	-7.074402469999999	-0.006436180798214995	0.43407934079704735	0.006509394635028584	(-7.91254, -6.30529)	(-0.0173298, 0.00690869)
de61860db8d93da85692dffb5cf32ab9	-4.599853730000001	-0.007758379266029985	0.33499919365483133	0.0050442342896530904	(-5.16494, -3.89058)	(-0.017242, 0.00191377)
5c02713fbed5c1964b4410d9f8166555	-6.1838379199999975	0.0014350309238774994	0.137999356734637	0.0020431443639262973	(-6.45019, -5.93577)	(-0.00236779, 0.00518965)
12bb0c9249480c4cec2cc9f692018806	-8.318686165000006	-0.0009955538446549993	0.15897496931228755	0.0023717674179760447	(-8.61449, -8.03466)	(-0.00512647, 0.00356178)
b10627ff6db16c65eed2f21380dd700f	-5.864480759999995	-0.004010477913925005	0.35365585091105506	0.0053216376487328805	(-6.51434, -5.20918)	(-0.0138075, 0.00590226)
3f5f0d10bd5495e2c89d229c508dcdec	-7.132384735000004	0.001334724293959498	0.2654920315889532	0.003971426770959245	(-7.58881, -6.63085)	(-0.00572078, 0.00858301)
de6891b6f7a1f35bd9ccbc058b9e1a77	-6.615717744999997	0.000658946578395	0.09545151269395878	0.0014233553659258554	(-6.79842, -6.45448)	(-0.00202672, 0.00323154)
828c563319c7cee475b9b8ab6a0a048b	-7.114126710000004	-0.004971353263590003	0.14158210317577546	0.0021164068088420237	(-7.38634, -6.87357)	(-0.00865364, -0.000807251)
6a129e8ae637c96e7bb56223913911f7	-5.877175690000008	-0.001922060596485498	0.18742884005382937	0.0028032947089074805	(-6.22133, -5.52706)	(-0.00689823, 0.00362778)
1527fd8b14037f53b8edb26b111e1f72	-6.022081455000004	0.0032904151011240545	0.15572031739831826	0.002319901625565104	(-6.3416, -5.74759)	(-0.00139555, 0.00745354)
b3d06445a910a9a444919e41f5da39c3	-10.675035000000012	0.010778214596949998	0.2526000719605995	0.0036927433917238114	(-11.1369, -10.2068)	(0.00426479, 0.0178303)
992072d045462445dc239b35300af2cc	-3.972302080000004	0.0025029693738550037	0.38421513640677074	0.005755410819742961	(-4.72683, -3.26977)	(-0.00875477, 0.0134306)
2403a466dd6d1e4f551d80394c2aa994	-6.922762159999992	-0.0007590540288999996	0.45312146199858416	0.006802452288875513	(-7.73338, -6.04274)	(-0.0124559, 0.0131261)
cae14798faeabb8e1b8840e712839921	-6.815262810000001	-0.006156222812475491	0.22545354442612792	0.003351287013426534	(-7.22178, -6.36164)	(-0.0123719, 0.0001393)
