	Feature	Intercept_mean	calcium_eaten_mean	Intercept_std	calcium_eaten_std	Intercept_hdi	calcium_eaten_hdi	lower	upper	credible	Taxon
0	74923f4bbde849e27fc4eda25d757e2a	-7.150171269999997	-1.9537538245000023	0.3076617056630332	0.4185664751304842	(-7.74861, -6.61118)	(-2.7253, -1.1773)	0.7715461754999975	0.7764538245000023	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Clostridium_AQ; s__Clostridium_AQ innocuum
1	514b34f09e4acd2397d38273c630d338	-7.321745485000009	-1.8172440025000032	0.3568323941528636	0.4935366213324711	(-7.94771, -6.62844)	(-2.78273, -0.943463)	0.9654859974999968	0.8737810025000031	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__Limiplasma; s__Limiplasma merdipullorum
2	04195686f2b70585790ec75320de0d6f	-4.678434944999999	-1.8042652884999977	0.3038151746042272	0.4236607216444266	(-5.27113, -4.10898)	(-2.61429, -0.991427)	0.8100247115000023	0.8128382884999977	yes	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_725029; g__Escherichia; s__Escherichia fergusonii
3	c5e3c5422835403541b0af331a2cc649	-7.382309054999991	-1.7818546939999993	0.3269416365673804	0.4535238073402818	(-7.96189, -6.75138)	(-2.62102, -0.954377)	0.8391653060000008	0.8274776939999993	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Acutalibacter; s__
4	7efeb75fc542932a033b37b887994dc8	-7.471922949999991	-1.1895890843365016	0.3204257901525681	0.4461301725929167	(-8.10978, -6.9278)	(-2.01636, -0.380258)	0.8267709156634986	0.8093310843365016	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__SFMI01; s__
5	c4e57b91cc2be5a2232b3612abdf4c0c	-7.349249929999995	-1.1046332640750018	0.3574084810907474	0.4923560833249659	(-8.0242, -6.68833)	(-2.05707, -0.206025)	0.9524367359249981	0.8986082640750018	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Merdibacter; s__Merdibacter massiliensis
6	0021d135d4ac12982cc8abdf2b38e23f	-5.988976450000005	-1.0887214151020002	0.4322900292117516	0.5963178597020699	(-6.73321, -5.19872)	(-2.13052, -0.042824)	1.041798584898	1.0458974151020002	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides_H_857956; s__Bacteroides_H_857956 eggerthii
7	29bb5fa7f45e47bbabab8cc1b1b3d18e	-8.096436994999994	-1.0271599552550006	0.3397157001719527	0.4752955745435459	(-8.68292, -7.39038)	(-1.86686, -0.0614629)	0.8397000447449994	0.9656970552550006	yes	d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales; f__Veillonellaceae; g__Veillonella_A; s__Veillonella_A parvula
8	5e69d50b5a886d1b222f36de84a9dc98	-8.549406010000013	-1.0008217902799976	0.2846005047635722	0.3923570505896548	(-9.1131, -8.04294)	(-1.76285, -0.29369)	0.7620282097200024	0.7071317902799976	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_A_166204; s__Roseburia_A_166204 intestinalis
9	3f38509af22157cdcb4006457529d25e	-8.229386880000023	-0.9556465093849992	0.2597214959379866	0.3558108225597094	(-8.70613, -7.75174)	(-1.64015, -0.313301)	0.6845034906150008	0.6423455093849992	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__; s__
11	904ad13c7b8512200836d5cd9fb09e1b	-8.34959691499999	-0.856948643740002	0.2769169920393704	0.3760705603671124	(-8.87598, -7.8544)	(-1.61013, -0.220442)	0.753181356259998	0.636506643740002	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes_A_871404; s__Alistipes_A_871404 indistinctus
