Feature	Intercept_mean	fiber_eaten_mean	Intercept_std	fiber_eaten_std	Intercept_hdi	fiber_eaten_hdi	lower	upper	credible
74923f4bbde849e27fc4eda25d757e2a	-5.762677125	-0.117512539	0.366400593	0.014628067	"(-6.44416, -5.06365)"	"(-0.146012, -0.0915405)"	0.028499461	0.025972039	yes
2a13ecb6c618ddf8154298c69336dd8e	-6.44713217	-0.08861597	0.408107553	0.015749517	"(-7.18997, -5.69567)"	"(-0.117664, -0.0598044)"	0.02904803	0.02881157	yes
949af2c28ba6c0345ae58b9aed00a2c0	-5.78686764	-0.073042242	0.401330486	0.015380804	"(-6.54247, -5.03868)"	"(-0.101067, -0.0431706)"	0.028024758	0.029871642	yes
fea3411c847e6627afb5e78b88e2e9af	-3.981936045	-0.071309719	0.229479666	0.008637011	"(-4.43459, -3.58992)"	"(-0.0876485, -0.05526)"	0.016338781	0.016049719	yes
f7ef98bb6d0061b9368a72b1ff40aad0	-7.24940092	-0.070055016	0.318045123	0.01231664	"(-7.84533, -6.64355)"	"(-0.093411, -0.0467795)"	0.023355984	0.023275516	yes
c4e57b91cc2be5a2232b3612abdf4c0c	-6.443074955	-0.069738538	0.3882905	0.014834345	"(-7.17281, -5.73035)"	"(-0.0990991, -0.0436139)"	0.029360562	0.026124638	yes
9d4e16844252e2dfbaf80a4a6fc4d55d	-7.87983975	-0.069592642	0.274193634	0.011030899	"(-8.40015, -7.36083)"	"(-0.0904755, -0.0484222)"	0.020882858	0.021170442	yes
b6d740387526e21887b761f90fbc914a	-6.889889685	-0.067069427	0.269713133	0.010379779	"(-7.41486, -6.38415)"	"(-0.0875267, -0.0479748)"	0.020457273	0.019094627	yes
4c855814a58f4f324e8f0cfaab222e1f	-7.28158532	-0.064148305	0.405179347	0.015660498	"(-7.9817, -6.44983)"	"(-0.0961108, -0.0369548)"	0.031962495	0.027193505	yes
514b34f09e4acd2397d38273c630d338	-7.292630095	-0.052424255	0.308034861	0.012034434	"(-7.87939, -6.733)"	"(-0.07482, -0.0303262)"	0.022395745	0.022098055	yes
a167e4d4418792dcaba877443ed0e66d	-7.47139467	-0.046803416	0.31794899	0.012084018	"(-8.01184, -6.84277)"	"(-0.0686393, -0.0238964)"	0.021835884	0.022907016	yes
a186bb74dfce512f83043f7b366c60c4	-5.276242125	-0.044469479	0.452514118	0.017264081	"(-6.11866, -4.40684)"	"(-0.0782504, -0.0126965)"	0.033780921	0.031772979	yes
04195686f2b70585790ec75320de0d6f	-4.831082445	-0.042908732	0.296449522	0.011424688	"(-5.35791, -4.2698)"	"(-0.0637104, -0.021856)"	0.020801668	0.021052732	yes
2a99ec1157a90661db7ff643b82f1914	-5.418220735	-0.041666241	0.365659075	0.013650895	"(-6.06116, -4.69402)"	"(-0.0678388, -0.0173646)"	0.026172559	0.024301641	yes
2480f3aa1e7784b461d9b5b83a6bfc81	-6.97321067	-0.039280891	0.261638883	0.010002972	"(-7.45701, -6.47541)"	"(-0.0583595, -0.0208317)"	0.019078609	0.018449191	yes
1a5526b9f7147b6893f1a034a107cc65	-8.93848205	-0.037889649	0.265000006	0.010436465	"(-9.41836, -8.44)"	"(-0.058373, -0.0191724)"	0.020483351	0.018717249	yes
86deb5cf8d6f29d383136e0d09863b69	-9.09501863	-0.037169352	0.262580798	0.010429782	"(-9.59303, -8.6009)"	"(-0.054849, -0.0154012)"	0.017679648	0.021768152	yes
2ab8310e1e510f8045c7f4d191fa36be	-8.16852993	-0.036645909	0.357384336	0.013824218	"(-8.80986, -7.51973)"	"(-0.0626781, -0.0125028)"	0.026032191	0.024143109	yes
c5e3c5422835403541b0af331a2cc649	-7.72649907	-0.036091777	0.207512296	0.007686241	"(-8.09472, -7.33006)"	"(-0.0499805, -0.0210958)"	0.013888723	0.014995977	yes
