Feature	Intercept_mean	fiber_eaten_mean	Intercept_std	fiber_eaten_std	Intercept_hdi	fiber_eaten_hdi
7e9ed2c841e64976eace4b578ff56a26	-5.539603965000009	0.02295947200620004	0.4155112755749578	0.016013501505826352	(-6.33409, -4.79174)	(-0.00522245, 0.0532645)
a6099802840e60febef8e896967b7747	-6.885784549999992	-0.0019880902755309965	0.1214509317218171	0.004631536233371065	(-7.1207, -6.66625)	(-0.0106898, 0.00678025)
904ad13c7b8512200836d5cd9fb09e1b	-8.819291804999986	-0.004424921408700006	0.26194421494373954	0.010002489630073606	(-9.37409, -8.3736)	(-0.0227949, 0.0141311)
1aab913302590e21a7be28b1494a3320	-8.749225129999994	-0.014691291923059987	0.15573779501868873	0.006044114667557848	(-9.0287, -8.44892)	(-0.0256418, -0.00290881)
e644522cf6d7222c9da7f9ecf614cd89	-8.460692119999996	-0.011968170267000018	0.24344542780406792	0.009213600096578156	(-8.89878, -8.02004)	(-0.0289796, 0.00482115)
bad4f7c5ada34a1f813946abcfe5c556	-5.2322659	0.020938276635000006	0.1161541520040933	0.004450522961415972	(-5.44689, -5.01717)	(0.0126326, 0.029024)
399bcf0feb12a20ca0731d8d65268dae	-5.731425195000009	-0.02280488103249996	0.23260179306544893	0.008904450979466842	(-6.17, -5.30407)	(-0.0393296, -0.00575751)
32f7e6bfc42fe19c17f9459bd9be4b67	-7.206008304999994	0.0012700061849649997	0.246680715313899	0.009485455781741382	(-7.68396, -6.76372)	(-0.0145889, 0.0204895)
c942f59feffce9c3ab527135de234101	-4.684454174999989	-0.022188676679999936	0.15211530166002168	0.005746150899832684	(-4.9553, -4.41079)	(-0.0318702, -0.010837)
29bb5fa7f45e47bbabab8cc1b1b3d18e	-8.617065584999999	-0.007006593073249984	0.3037426896518791	0.011258852766737744	(-9.17183, -8.0134)	(-0.028212, 0.0146756)
7b2ff5940de11da4dc3bb208805dff11	-8.111917399999994	-0.011545604338500005	0.13006572615466386	0.004918430435360684	(-8.36831, -7.87781)	(-0.0208481, -0.00229731)
6c7fa77831ae630967a6fbfc8ee47901	-3.372335225000002	-0.0034008929859294973	0.08225013930778088	0.0031476820046654422	(-3.53061, -3.22756)	(-0.0088708, 0.00273325)
6c83fec6e8d03fad51eabc871853c991	-9.37338849999999	0.03833393815500001	0.3003596682598213	0.011473760496894218	(-9.97462, -8.87158)	(0.0179834, 0.0600776)
23597fea41001255f06321d42aefd3bd	-8.711017515000005	0.01218800161405002	0.19773975117152026	0.007571604495094371	(-9.10121, -8.34314)	(-0.00184748, 0.0266578)
ee02d6d3506da57909d5e603709a295f	-6.889660565	0.004909382798798999	0.13315486585487896	0.00506728283934858	(-7.12266, -6.62091)	(-0.00453586, 0.0144204)
e6a34eb113dba66df0b8bbec907a8f5d	-5.219046665000005	-0.011529617471799989	0.14214707160764095	0.005376672106282234	(-5.50266, -4.96686)	(-0.0213314, -0.00109783)
6c4de756c45fa6e7e5adfe196f9f0039	-5.682139464999993	0.009332255421634975	0.3176798086567098	0.012204700608802141	(-6.31823, -5.10882)	(-0.0131392, 0.0323715)
60c57911662a9159dfdd0fc05d975a55	-4.1700481950000015	-0.0037051267304349994	0.1389519873013408	0.005231288963141316	(-4.40749, -3.90456)	(-0.013522, 0.00576061)
1986030e3c5cd5df6d869054bc96e536	-9.197670119999978	0.05357407394999994	0.2522262775709256	0.009792596493816965	(-9.64859, -8.74592)	(0.0350774, 0.0715461)
ea3433f2c148c6fae4cc2e9ae197f5b8	-5.523846159999994	0.011860530978469999	0.1783007882746299	0.006797864458236166	(-5.88593, -5.21224)	(-0.00130176, 0.0245187)
059c8f8bb468064b134ea6d3661761ea	-5.02945881499999	0.004910977515974995	0.1882528748413841	0.00711670244256689	(-5.42273, -4.71868)	(-0.00749752, 0.0193015)
8a9f7499cdb85b8efa497bb56256cb43	-7.036096619999992	0.024140222079999957	0.11587094920978078	0.004393349926654249	(-7.25156, -6.82321)	(0.0162575, 0.0327992)
8dccd839cf4868a3343e411c063932a6	-8.877289330000002	-0.011673023791069995	0.2379151360606365	0.009045435530054763	(-9.28214, -8.41045)	(-0.0286789, 0.00487425)
f402919ff0fe53fec5b6ef190f9e42b7	-6.9432236700000125	-0.0005433576041600003	0.13861411628882198	0.005217479365869886	(-7.20225, -6.68214)	(-0.0105518, 0.00919418)
f9382b37fc2cfd3cf606824a235802de	-9.792482009999972	0.0012332255000389997	0.24213795647617922	0.009262554635185887	(-10.2355, -9.34556)	(-0.0157357, 0.0186788)
1664c7d0b9dec6e07df8542c0c4049c7	-8.695961530000003	0.008410868111350008	0.19529538757318132	0.0073898531364621715	(-9.08055, -8.34051)	(-0.00593267, 0.0220017)
3e5f388f7ad4f160c2a1cdd1441d00c0	-6.480770109999984	-0.002468744405535001	0.12955563126621672	0.00500870974293009	(-6.73298, -6.24909)	(-0.0124072, 0.00668048)
f5706d9ec821f971e4c08ee992995b40	-7.736730224999991	-0.006750797268634997	0.24175587074257257	0.009199364158515393	(-8.1487, -7.24812)	(-0.0233915, 0.0111463)
138eb7703e1255cf29760a4440de2a47	-9.033014754999998	0.01674490918279997	0.2544664009684576	0.009664363500705505	(-9.51482, -8.56473)	(-0.00143582, 0.0349692)
56c3d1a8e4dc5c2aa7afbc1563559448	-6.969238875000001	-0.020737846569100025	0.4463690451683275	0.01722692045406876	(-7.78451, -6.16367)	(-0.0525742, 0.0106339)
de61860db8d93da85692dffb5cf32ab9	-5.055978509999998	-0.0012117121055500004	0.3073355621685847	0.011759197976432798	(-5.61819, -4.44229)	(-0.0214801, 0.0228617)
5c02713fbed5c1964b4410d9f8166555	-6.248447055000006	0.006154512845912994	0.12156376384012219	0.0045746683675940555	(-6.48243, -6.01722)	(-0.00230033, 0.014989)
12bb0c9249480c4cec2cc9f692018806	-8.766469855	0.015034614023299982	0.17568009947239027	0.006655381278340396	(-9.09138, -8.42063)	(0.00202905, 0.0268952)
b10627ff6db16c65eed2f21380dd700f	-7.095618544999997	0.03753671942800001	0.42079009133394907	0.016063327075858322	(-7.98125, -6.34276)	(0.00532663, 0.0681173)
3f5f0d10bd5495e2c89d229c508dcdec	-7.5011257599999945	0.017693697930005508	0.2851989061359149	0.01100217120832823	(-7.99304, -6.93073)	(-0.0037747, 0.0371238)
de6891b6f7a1f35bd9ccbc058b9e1a77	-6.609474514999997	0.0014141841154354999	0.08780072820919403	0.0033434546468186117	(-6.78999, -6.45556)	(-0.0050573, 0.00765712)
828c563319c7cee475b9b8ab6a0a048b	-8.127316604999997	0.026998721200000016	0.15341538779022118	0.005837833089976644	(-8.40186, -7.8432)	(0.0165138, 0.0378597)
6a129e8ae637c96e7bb56223913911f7	-6.102316509999988	0.004096183550130006	0.20512134211197988	0.007826369420974835	(-6.48873, -5.72485)	(-0.0105991, 0.0181893)
1527fd8b14037f53b8edb26b111e1f72	-5.676663029999986	-0.0052816226082844885	0.14457937519998867	0.00540312017454079	(-5.93866, -5.39354)	(-0.0159489, 0.004224)
b3d06445a910a9a444919e41f5da39c3	-9.541867479999985	-0.016947452772	0.23036972297168226	0.008947333227243856	(-9.98564, -9.101)	(-0.0355732, -0.00103157)
992072d045462445dc239b35300af2cc	-4.537909595000002	0.028436696187699985	0.47204414404363276	0.018476639381552577	(-5.37397, -3.58402)	(-0.00457243, 0.0667574)
2403a466dd6d1e4f551d80394c2aa994	-7.453991834999994	0.01902973481481504	0.4505740999534738	0.017299838574612692	(-8.38769, -6.66638)	(-0.0127401, 0.0523193)
cae14798faeabb8e1b8840e712839921	-7.305276204999992	0.004075998935410004	0.2839925892231136	0.010886267566991025	(-7.83501, -6.77233)	(-0.0167496, 0.0238448)
4311a44a7d56ce4086afad3e75bedd6e	-7.687303440000008	-0.01834572761715	0.17994254919603217	0.006794256998400933	(-8.00937, -7.33391)	(-0.0316436, -0.00616238)
ab153c3e19553cead3d76fb9e00684c2	-7.523228635000001	0.023975608224150045	0.3060611110970928	0.011798213862936544	(-8.03975, -6.9221)	(0.00321569, 0.0458961)
fc1856f132cd513b1251fa39ad4ccd01	-7.998658974999991	-0.0032055367712850017	0.11809620241480841	0.004520448440648795	(-8.22719, -7.77777)	(-0.0114239, 0.00550277)
8ef31508d9a2fc6f83935de5607a686c	-6.932608269999995	-0.015034508966849986	0.4288227307349824	0.016372123109892264	(-7.67353, -6.0429)	(-0.047477, 0.013879)
21ce8465657612a85e2f89e74d285ce1	-9.765739675000004	-0.015676712134550005	0.2619610805359156	0.010185616081035815	(-10.2783, -9.30596)	(-0.0344334, 0.00349419)
69d052e452e79d571cba042af265d50c	-5.926473830000003	0.03140537962254999	0.3241804652205795	0.012506467274721532	(-6.53994, -5.34296)	(0.0107559, 0.0571411)
79d5bee84cddbb27acb4dd7df378c789	-8.007511415000003	0.02751630613450001	0.2629216212344427	0.0100775969368272	(-8.47898, -7.48759)	(0.00675523, 0.0446996)
0f0a1f8c92368be6e8d3145bd4e94cd1	-4.9947514300000115	-0.008174138905499478	0.2040720223368581	0.007764164051982147	(-5.39189, -4.63376)	(-0.0236612, 0.00567722)
64d05989cb6f8053633b2127793200b3	-7.095922759999996	-0.013921381417500002	0.12986941548525732	0.004740245606789398	(-7.34209, -6.86537)	(-0.0227316, -0.00475957)
bac3d8ea4685e825ef8d12b2a6979577	-7.526055735000014	0.002539174618880004	0.33303889887498084	0.012707941932030063	(-8.15109, -6.9221)	(-0.0223866, 0.0247492)
a8d23fd98a311df2db65e5842634aba3	-7.531380935000003	0.011180397522349995	0.13926264497982122	0.00528200391572654	(-7.78968, -7.27674)	(0.0020332, 0.0217699)
41239266f2952a56a313fc4798f28a1c	-6.520743659999994	-0.012524355690299986	0.17392704441318027	0.006603511581599172	(-6.87185, -6.21328)	(-0.0245762, -0.000272902)
2b982979f2401a8bc447d7141879e9b2	-3.6122126550000067	-0.010428855287999996	0.0828275753798274	0.003134427449722017	(-3.76633, -3.44737)	(-0.0163479, -0.00440404)
251429848560a80abcb96640ceb102db	-5.2837579199999976	-0.003519572843474998	0.17851443723120444	0.006833978079327179	(-5.61817, -4.94095)	(-0.0161329, 0.00950802)
7b34b797cadb639f63827c6d332dd4e9	-8.087517954999997	-0.0042598555145350065	0.15450383219508804	0.005832960775120455	(-8.37792, -7.79982)	(-0.0151292, 0.00687539)
2a99ec1157a90661db7ff643b82f1914	-5.432672435000005	-0.04102331597949996	0.3623490299243542	0.01383775385779503	(-6.096, -4.75476)	(-0.0673419, -0.0163607)
2a7f11895ae7fe9fdffa52016207c561	-5.616866170000009	-0.015258744153149977	0.1876359202941459	0.00725582116521527	(-5.97045, -5.28718)	(-0.0285889, -0.00199614)
0cfd41d10227f0de9092d5cda028c12d	-8.625829025000009	0.001114314496319999	0.197269825641935	0.00750809793532031	(-9.02498, -8.26887)	(-0.0127171, 0.015152)
a9387e76477da8688775569cf540191b	-6.360338864999997	0.011947829282220008	0.24800161735755216	0.00952046195015532	(-6.80153, -5.89453)	(-0.00557083, 0.0292583)
bb769f42c78f86faa2801cb2c2abb8dc	-8.965496064999993	0.013729084512279976	0.2488681669078345	0.009388967691278609	(-9.42441, -8.51174)	(-0.00399068, 0.0304841)
68ee181a51a55ca3814763c9214cfd8a	-9.624393074999999	0.03671167769999993	0.22319053474821524	0.008501888941209635	(-10.0368, -9.20255)	(0.020774, 0.052548)
88956ab21ebb7e44b2dd317dd412818a	-8.568141565000012	0.003286372327785004	0.24050707997811788	0.009210955028816931	(-9.06711, -8.15546)	(-0.0150208, 0.0202247)
ca9dec36ad0aa5a1473144ddcb74951d	-5.171304744999996	0.00022637317763500022	0.14218783833835774	0.005390073503418007	(-5.44012, -4.90914)	(-0.00998182, 0.0102605)
ae171d16e3cb68ad19636a58839a1ef1	-9.126306364999989	0.00699835925660001	0.28901967025522124	0.010729123999098663	(-9.6353, -8.55704)	(-0.0124316, 0.0272668)
77f4d90aa6eb8080927f59ee8bbac375	-9.983068659999985	0.031253668549999954	0.1684265763037542	0.006228861890614198	(-10.3073, -9.67791)	(0.0201132, 0.0438969)
a7b427a226422d10e62536b8d41e02fe	-8.436200489999997	0.011523341381531977	0.34862441741042743	0.013153158129197609	(-9.07174, -7.80856)	(-0.0122004, 0.0360884)
2480f3aa1e7784b461d9b5b83a6bfc81	-7.000953999999993	-0.038274930995	0.2664096614586265	0.01024464251965263	(-7.51119, -6.49642)	(-0.0566618, -0.0179717)
9000b563231e32a7003bf2ef20bf9a60	-7.6556465950000065	0.009100919845650002	0.18551860763911546	0.00706272144139201	(-7.98979, -7.30315)	(-0.0046788, 0.0216163)
a186bb74dfce512f83043f7b366c60c4	-5.263362784999996	-0.04518926744450004	0.4579113479915012	0.017310292365805988	(-6.08766, -4.39028)	(-0.0757159, -0.0120212)
aad2c8fbb5e1201340fe4357731fc9ee	-8.10153954000001	0.004268395480535008	0.28988478955300234	0.010958488340279963	(-8.64204, -7.56336)	(-0.0150966, 0.0253991)
490d2aec117bd7289577684ba3cc1b64	-7.140242514999999	0.011825217728950007	0.32108054862063024	0.012424710550784502	(-7.71129, -6.51355)	(-0.0133737, 0.0326432)
457d3865cf0a4bc602a07d8d5324388f	-8.148465614999994	-0.020820836271000003	0.1923705611093387	0.0070481656984968674	(-8.49329, -7.79095)	(-0.0332077, -0.00734166)
552e00cb506f739acaf08aa5641f9d84	-6.748414174999997	0.0039737750380604946	0.24486633019490336	0.009384216246405078	(-7.19855, -6.27989)	(-0.0126786, 0.0224636)
9dc78fd8f2f7cb10e190e77af61c7ecd	-8.548171865000013	0.015631935588499995	0.15692365947897022	0.005981106800466995	(-8.84071, -8.26218)	(0.00498564, 0.0272242)
a3607a88a8ed64e24a374847b23e404f	-6.219921115000007	-0.009100924596199985	0.1861223184414131	0.007185342415589849	(-6.59549, -5.9036)	(-0.0220138, 0.00472511)
5bb151262388870fd53a84ea6f1ffdf2	-9.234043495000005	-0.007561059146999993	0.2627694044766913	0.009805317003832914	(-9.7032, -8.6978)	(-0.0271355, 0.0100802)
f7962a90f4519ec1d1a9c7b8ef7bf396	-9.550396060000008	0.019346848370799998	0.23612256161552272	0.008845156866848402	(-9.99941, -9.10588)	(0.00194375, 0.0351847)
77ad88eed91eef009bf64f101c96baa6	-5.17091916000001	-0.000999113272225	0.3166947005980596	0.011906097241399119	(-5.74494, -4.59098)	(-0.0230404, 0.0208911)
08be83d0a527ddd1da0861135192e593	-8.574246370000003	0.002217047838700002	0.4027841741518935	0.0155060207965926	(-9.37153, -7.87357)	(-0.0257821, 0.0313826)
b61862b15d33865612e76c1db7b995a1	-9.520487860000014	0.020830169276000034	0.19231796120570857	0.007177029610321274	(-9.84456, -9.13117)	(0.00720684, 0.0340462)
14f11556b1fc9132c5ab27b67a2479bf	-9.134567515000002	-0.0022491211900900017	0.21428674054377408	0.008213167448867381	(-9.55659, -8.7484)	(-0.0172464, 0.0139653)
514b34f09e4acd2397d38273c630d338	-7.318429749999999	-0.05144679801499997	0.31550233418825546	0.012143910349679415	(-7.86307, -6.70412)	(-0.0746972, -0.029874)
ba88d4e4e6a24ecc2a5aab6bdfbb77f5	-8.036946895000012	0.009274073849599988	0.16149515987239058	0.006143150437635907	(-8.36875, -7.7352)	(-0.00250728, 0.0207378)
1c94105978b1aa2095e3c0096774f240	-7.90530159499999	-0.012411185768769994	0.21405658767976754	0.007991491035161764	(-8.33177, -7.52565)	(-0.0279894, 0.00207414)
27b636c66fa117272ed27920bad78969	-8.660585385000008	0.010337132520829522	0.23922134929464747	0.00897839297515919	(-9.11013, -8.22658)	(-0.00605988, 0.026744)
