	Feature	Intercept_mean	oils_nuts_fg_eaten_mean	Intercept_std	oils_nuts_fg_eaten_std	Intercept_hdi	oils_nuts_fg_eaten_hdi	lower	upper	credible	Taxon
0	c5e3c5422835403541b0af331a2cc649	-8.061208429999999	-0.0347714397999999	0.1404978517641288	0.0060711401573029	(-8.31766, -7.79765)	(-0.0467326, -0.0243155)	0.011961160200000098	0.0104559397999999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Acutalibacter; s__
1	fea3411c847e6627afb5e78b88e2e9af	-5.249537230000002	-0.0252424139249999	0.1076237651516944	0.0046244028873475	(-5.44562, -5.04391)	(-0.0336297, -0.0164428)	0.008387286075000097	0.0087996139249999	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155507; s__Mediterraneibacter_A_155507 torques
2	b6d740387526e21887b761f90fbc914a	-8.097954374999992	-0.023122553375	0.1244451430687809	0.0052275083786234	(-8.3152, -7.86173)	(-0.0329795, -0.013574)	0.009856946625000002	0.009548553375000001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155507; s__Mediterraneibacter_A_155507 torques
3	74923f4bbde849e27fc4eda25d757e2a	-8.14844500499999	-0.0177861773025	0.13454014530615	0.0054351092725865	(-8.37414, -7.89115)	(-0.0283884, -0.00783231)	0.0106022226975	0.0099538673025	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Clostridium_AQ; s__Clostridium_AQ innocuum
4	4c855814a58f4f324e8f0cfaab222e1f	-8.559511640000002	-0.0156618730004999	0.1292138043624226	0.0053166873027112	(-8.80014, -8.33018)	(-0.0252303, -0.00489711)	0.009568426999500102	0.010764763000499899	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Negativibacillus; s__Negativibacillus massiliensis
5	2a13ecb6c618ddf8154298c69336dd8e	-8.294783274999991	-0.0154668432078	0.1445259366107839	0.0060826686351813	(-8.58582, -8.03271)	(-0.027044, -0.00427428)	0.011577156792199998	0.0111925632078	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Coprobacillaceae; g__Thomasclavelia; s__Thomasclavelia spiroformis
6	457d3865cf0a4bc602a07d8d5324388f	-8.39314706500001	-0.015269930741515	0.1388553605491549	0.0058787784862094	(-8.66784, -8.14829)	(-0.0258088, -0.00387874)	0.010538869258485	0.011391190741515	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Alitiscatomonas; s__Alitiscatomonas aceti
7	c4e57b91cc2be5a2232b3612abdf4c0c	-7.869310584999996	-0.014904588856	0.1369233187894151	0.0051264373045431	(-8.11939, -7.60467)	(-0.0246722, -0.00548353)	0.009767611143999998	0.009421058856	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Merdibacter; s__Merdibacter massiliensis
8	2a7f11895ae7fe9fdffa52016207c561	-5.768861255000001	-0.0143992266599999	0.0809458717494288	0.0029256316599355	(-5.92714, -5.62894)	(-0.0202828, -0.00927688)	0.005883573340000101	0.0051223466599999	yes	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Bifidobacteriaceae; g__Bifidobacterium_388775; s__Bifidobacterium breve
9	949af2c28ba6c0345ae58b9aed00a2c0	-7.2716189749999876	-0.0139686329171499	0.1695895423173239	0.0070714739447434	(-7.57736, -6.9455)	(-0.027145, -8.78838e-05)	0.0131763670828501	0.013880749117149899	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Tidjanibacter; s__Tidjanibacter inops
