Feature	Intercept_mean	potassium_eaten_mean	Intercept_std	potassium_eaten_std	Intercept_hdi	potassium_eaten_hdi
7e9ed2c841e64976eace4b578ff56a26	-5.627932940000004	0.32593305555649976	0.4365057889364772	0.2071200446524307	(-6.36927, -4.70329)	(-0.0777326, 0.707386)
a6099802840e60febef8e896967b7747	-6.931968904999993	-0.0011369449708500006	0.14119829133828415	0.06665560833506616	(-7.19324, -6.67445)	(-0.126659, 0.116742)
904ad13c7b8512200836d5cd9fb09e1b	-9.077508779999986	0.07365121644835002	0.35589680354452696	0.16843487126092108	(-9.83083, -8.46916)	(-0.236705, 0.401025)
1aab913302590e21a7be28b1494a3320	-9.205604190000003	0.046072972799849995	0.20088624905240257	0.09494354939022537	(-9.56812, -8.83288)	(-0.126498, 0.221593)
e644522cf6d7222c9da7f9ecf614cd89	-8.566223274999986	-0.09315782750294997	0.2881718458467521	0.13741837489950437	(-9.11425, -8.03452)	(-0.349369, 0.160354)
bad4f7c5ada34a1f813946abcfe5c556	-5.085070204999998	0.18885513736999984	0.13691886246755042	0.06482953408007999	(-5.33029, -4.81898)	(0.0702549, 0.308239)
399bcf0feb12a20ca0731d8d65268dae	-5.7663114250000085	-0.2608376736115001	0.2593879403644651	0.12163653802094948	(-6.26752, -5.2936)	(-0.489443, -0.0333673)
32f7e6bfc42fe19c17f9459bd9be4b67	-7.023884475000006	-0.07503559030950006	0.26502150193507795	0.1263599246944768	(-7.50291, -6.50725)	(-0.289105, 0.178606)
c942f59feffce9c3ab527135de234101	-4.7360584399999945	-0.24453016994999965	0.18601152252902603	0.08782132750507245	(-5.06543, -4.36796)	(-0.415787, -0.082353)
29bb5fa7f45e47bbabab8cc1b1b3d18e	-8.083112475000027	-0.3581627998725004	0.33107484050018754	0.15615760579128624	(-8.71832, -7.49055)	(-0.640788, -0.0680397)
7b2ff5940de11da4dc3bb208805dff11	-8.300263529999997	-0.047038282942024945	0.19772136951791297	0.09429845242256892	(-8.66972, -7.92744)	(-0.217513, 0.137567)
6c7fa77831ae630967a6fbfc8ee47901	-3.280860394999998	-0.0876816329749999	0.10602734780279073	0.0509099510900546	(-3.49056, -3.08336)	(-0.19119, 0.00381701)
6c83fec6e8d03fad51eabc871853c991	-8.952729939999994	0.2819283614450004	0.3178209661400522	0.14877253781452132	(-9.59004, -8.40682)	(0.0186843, 0.576778)
23597fea41001255f06321d42aefd3bd	-8.323968124999993	-0.03757663642884997	0.22434052563131449	0.10789521507610426	(-8.70094, -7.87722)	(-0.244848, 0.155999)
ee02d6d3506da57909d5e603709a295f	-6.755280490000016	-0.0043056697005	0.14895801981652376	0.07115322189340287	(-7.02749, -6.47252)	(-0.13044, 0.133347)
e6a34eb113dba66df0b8bbec907a8f5d	-5.291574149999994	-0.10466543214455006	0.17990995539262822	0.0855902089186395	(-5.62177, -4.95309)	(-0.260187, 0.0549719)
6c4de756c45fa6e7e5adfe196f9f0039	-6.161302865000009	0.3448663905929996	0.4080289276232039	0.1938310904203733	(-6.96302, -5.44202)	(-0.0104367, 0.703968)
60c57911662a9159dfdd0fc05d975a55	-4.311418345000004	0.025044887453450015	0.15518612539531673	0.0731589120531348	(-4.59094, -4.02779)	(-0.102313, 0.162364)
1986030e3c5cd5df6d869054bc96e536	-8.893007494999994	0.5334643681999991	0.2982620212690093	0.1418898376840603	(-9.47745, -8.36428)	(0.266643, 0.784958)
ea3433f2c148c6fae4cc2e9ae197f5b8	-5.534771655000004	0.15049258136699978	0.19885178762136155	0.09497879947506652	(-5.92618, -5.1655)	(-0.0365352, 0.326096)
