	Feature	Intercept_mean	potassium_eaten_mean	Intercept_std	potassium_eaten_std	Intercept_hdi	potassium_eaten_hdi	lower	upper	credible	Taxon
0	74923f4bbde849e27fc4eda25d757e2a	-6.572279905000002	-0.9728369620000006	0.351651010957513	0.1674243558761254	(-7.23638, -5.9277)	(-1.29297, -0.658978)	0.32013303799999937	0.31385896200000063	yes	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Clostridium_AQ; s__Clostridium_AQ innocuum
1	fea3411c847e6627afb5e78b88e2e9af	-4.292198065000003	-0.6916499425000004	0.2732824527671064	0.1272474925623336	(-4.80183, -3.79403)	(-0.91131, -0.430204)	0.2196600574999995	0.26144594250000047	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155507; s__Mediterraneibacter_A_155507 torques
2	c5e3c5422835403541b0af331a2cc649	-7.2146688950000115	-0.6832054475000013	0.3959374553695686	0.1884499223031224	(-7.93644, -6.50949)	(-1.02702, -0.348002)	0.3438145524999987	0.33520344750000136	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Acutalibacter; s__
3	514b34f09e4acd2397d38273c630d338	-7.387167455000002	-0.5786564893000002	0.3536536982717317	0.168461277346483	(-8.04849, -6.73676)	(-0.901288, -0.264713)	0.32263151069999974	0.31394348930000027	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__Limiplasma; s__Limiplasma merdipullorum
4	04195686f2b70585790ec75320de0d6f	-4.764475430000004	-0.5678715704999996	0.2925887351481856	0.1365278740547074	(-5.33732, -4.23056)	(-0.833106, -0.321914)	0.2652344295000004	0.2459575704999996	yes	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_725029; g__Escherichia; s__Escherichia fergusonii
5	9099a7f671b923c7b07c12508f17270a	-7.032798890000006	-0.5371369359999989	0.2496527476084888	0.119317492667391	(-7.50398, -6.59041)	(-0.751993, -0.307122)	0.21485606400000112	0.2300149359999989	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Clostridium_A_51961; s__Clostridium_A_51961 leptum
6	b6d740387526e21887b761f90fbc914a	-7.452271160000002	-0.5059915971500002	0.3166640630730844	0.1513684691980172	(-8.07039, -6.90297)	(-0.774926, -0.217642)	0.2689344028499998	0.2883495971500002	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155507; s__Mediterraneibacter_A_155507 torques
7	370829fece3190f1a8efccf50b7d0921	-6.738905930000012	-0.4644637744999999	0.2039091520239713	0.0970089029943883	(-7.13709, -6.35856)	(-0.652245, -0.281742)	0.18778122550000004	0.18272177449999993	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Lawsonibacter; s__
8	7efeb75fc542932a033b37b887994dc8	-7.362526065000002	-0.4538786112249998	0.4035167392713291	0.1912222059209208	(-8.09914, -6.63633)	(-0.807106, -0.100858)	0.3532273887750002	0.3530206112249998	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__SFMI01; s__
9	fe2a1f2b6f247658881254d63fd68b74	-5.134810559999986	-0.4466798026565	0.4221738292181151	0.2012230713573441	(-5.86091, -4.2803)	(-0.818718, -0.0634296)	0.37203819734349997	0.3832502026565	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Mediterraneibacter_A_155507; s__Mediterraneibacter_A_155507 faecis
