	Feature	Intercept_mean	protein_eaten_mean	Intercept_std	protein_eaten_std	Intercept_hdi	protein_eaten_hdi	lower	upper	credible	Taxon
0	c5e3c5422835403541b0af331a2cc649	-6.762464620000006	-0.0221285840729999	0.5068646932855511	0.0060299004686525	(-7.84402, -5.91397)	(-0.0331657, -0.0104806)	0.011037115927000098	0.011647984072999901	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Acutalibacter; s__
1	514b34f09e4acd2397d38273c630d338	-6.898893349999986	-0.02008170335	0.4890515663670627	0.0057613011112616	(-7.7972, -6.00619)	(-0.0306737, -0.00894794)	0.010591996650000001	0.01113376335	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__Limiplasma; s__Limiplasma merdipullorum
2	7efeb75fc542932a033b37b887994dc8	-6.8418430999999975	-0.0175571761086999	0.5503516046678616	0.0064993210269503	(-7.8655, -5.80898)	(-0.0300753, -0.00574893)	0.012518123891300099	0.011808246108699901	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__SFMI01; s__
3	3f38509af22157cdcb4006457529d25e	-7.535366690000004	-0.0164877179125	0.4054150321636383	0.004781120280653	(-8.33909, -6.83911)	(-0.0249391, -0.00732788)	0.008451382087499997	0.009159837912500001	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Aristaeellaceae; g__; s__
4	f9f5f08e8da4cc9740518223846563db	-7.546839379999998	-0.01133019427065	0.3617317092010532	0.0042575587555884	(-8.19354, -6.84431)	(-0.0193885, -0.0032646)	0.008058305729349999	0.008065594270650001	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes_A_871400; s__Alistipes_A_871400 timonensis
6	1a5526b9f7147b6893f1a034a107cc65	-9.002405820000007	-0.01045353671905	0.3630586570918364	0.0043268360179414	(-9.62164, -8.27717)	(-0.0186148, -0.00241157)	0.008161263280950001	0.00804196671905	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Anaeromassilibacillus; s__Anaeromassilibacillus sp001305115
8	25def15fb42bed6855ede4893d27a21d	-4.448830889999997	-0.01026324044995	0.359432212556565	0.0041678641174971	(-5.11994, -3.80086)	(-0.0179911, -0.00274396)	0.007727859550049999	0.007519280449950001	yes	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia; s__Akkermansia muciniphila_D_776786
9	a29679284280410db95e5cb8c0b2d73d	-8.041110620000007	-0.0101792837525499	0.3115838948707322	0.0036495127571086	(-8.58778, -7.43717)	(-0.0169083, -0.00337077)	0.006729016247450101	0.0068085137525498995	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes_A_871400; s__Alistipes_A_871400 finegoldii
12	5e69d50b5a886d1b222f36de84a9dc98	-8.445261920000025	-0.0094645552712774	0.3895927365188082	0.0046209641103991	(-9.15781, -7.74908)	(-0.018168, -0.000849629)	0.0087034447287226	0.0086149262712774	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia_A_166204; s__Roseburia_A_166204 intestinalis
13	340a5698fe78713b785c3bcce89df73b	-7.749649129999992	-0.0093571236935	0.2897544768721323	0.0034162615874472	(-8.23565, -7.172)	(-0.016169, -0.00356703)	0.006811876306499999	0.0057900936935	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes_A_871404; s__Alistipes_A_871404 ihumii
14	9099a7f671b923c7b07c12508f17270a	-7.339436404999999	-0.0093354165375999	0.2498655435303675	0.0029382776423532	(-7.74927, -6.83046)	(-0.0150217, -0.00427554)	0.005686283462400101	0.005059876537599899	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Clostridium_A_51961; s__Clostridium_A_51961 leptum
15	0cc2420a6a4698f8bf664d50b17d26b4	-5.434746204999986	-0.00933400479	0.2271238623615933	0.0026620014135132	(-5.84965, -5.00039)	(-0.0146312, -0.00462562)	0.005297195210000001	0.004708384789999999	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes_A_871400; s__Alistipes_A_871400 finegoldii
16	cae14798faeabb8e1b8840e712839921	-6.443738714999991	-0.0093199693838999	0.2962934125820194	0.0034294449883005	(-6.97748, -5.8738)	(-0.0156669, -0.00299253)	0.0063469306161001	0.0063274393838999	yes	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes_A_871400; s__Alistipes_A_871400 finegoldii
17	8f5959f21dc9ce9a281656f8d699ec07	-6.1181368699999945	-0.0090313016376999	0.2856036691282225	0.0033329483671329	(-6.61775, -5.56538)	(-0.0150537, -0.00263016)	0.0060223983623001	0.006401141637699901	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Blautia_A_141781; s__
19	ac0202d177961ffb380b6859272bde53	-7.309835005000009	-0.0086641223388	0.4010438998495053	0.0046693961610391	(-8.02727, -6.51226)	(-0.0177752, -0.000148104)	0.009111077661200001	0.0085160183388	yes	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia; s__Akkermansia muciniphila_D_776786
20	d05c86b5bfc092d8677507fb1eae8d66	-4.959052835000008	-0.0086086697533	0.3833368517047542	0.0044763964555972	(-5.61411, -4.15941)	(-0.0173666, -0.00053486)	0.0087579302467	0.0080738097533	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Ruminococcaceae; g__Ruminiclostridium_E; s__Ruminiclostridium_E siraeum
22	588a23811b3e98af68f4f0fb24a0daa8	-4.792924524999994	-0.0082625051786	0.2971911815753865	0.0034919967190622	(-5.3557, -4.24492)	(-0.0147106, -0.0016075)	0.0064480948214000015	0.0066550051786	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Anaerostipes; s__Anaerostipes hadrus
28	f11bd4248a2f95e53507c5bbf8dda43a	-6.146567375000004	-0.007732263735	0.2736028997325491	0.0032092086310646	(-6.65503, -5.61634)	(-0.0137669, -0.00154968)	0.006034636265000001	0.006182583735	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Oscillospiraceae_88309; g__Faecousia; s__Faecousia sp000434635
31	21ce8465657612a85e2f89e74d285ce1	-9.529610310000049	-0.00753505150805	0.3356842302097371	0.004015906112784	(-10.1513, -8.89027)	(-0.0151452, -0.00037188)	0.00761014849195	0.00716317150805	yes	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Christensenellales; f__Christensenellaceae; g__; s__
