Feature,faith_pd,shannon_entropy,observed_features,pielou_evenness
defecate_quantity_per_day,0.017710932,0.013556963,0.01756593,0.009027059
age,0.014361095,0.01429611,0.013058053,0.011695036
daily_HEI,0.013726766,0.017515985,0.014405211,0.01880835
potassium_eaten,0.012933539,0.015079225,0.013471332,0.013086502
CV_vegetables_fg_eaten,0.012117433,0.011751812,0.011666721,0.010640791
vitamin_b12_eaten,0.011165569,0.008028291,0.009614856,0.0074907704
CV_fruits_fg_eaten,0.01094145,0.010239843,0.009373823,0.010271894
CV_meat_fg_eaten,0.010586513,0.009532317,0.009645044,0.0075195692
vitamin_d_eaten,0.010494844,0.0084937895,0.009451644,0.008827848
bmi,0.010412905,0.009377478,0.008395505,0.008347568
CV_sodium_eaten,0.010385857,0.008007251,0.009879169,0.0074192905
CV_alcohol_eaten,0.010365313,0.008691303,0.008102474,0.007913446
CV_fatty_acids_saturated_eaten,0.009766701,0.009513662,0.009591227,0.007976387
carb_eaten,0.009632012,0.008943808,0.0093068555,0.008018438
non_alcoholic_beverages,0.009586425,0.0090888105,0.0093252035,0.008315731
CV_vitamin_c_eaten,0.009211374,0.008342345,0.008248398,0.0074142944
grains_potatoes_pulses,0.009207352,0.007641569,0.007840174,0.008392764
energy_kcal_eaten,0.00916518,0.008221265,0.008194582,0.008409478
CV_iron_eaten,0.009138342,0.007944498,0.00748557,0.0074106245
zinc_eaten,0.009137772,0.008714354,0.010203485,0.007611432
eaten_quantity_in_gram,0.009102156,0.008904011,0.009642446,0.008218836
vegetables_fruits,0.009074366,0.012067008,0.009063011,0.018426927
CV_zinc_eaten,0.009060374,0.0070135975,0.008057787,0.0076313354
fast_food_fg_eaten,0.009025401,0.010485463,0.007979382,0.013026811
CV_fast_food_fg_eaten,0.008966662,0.007987124,0.008198562,0.008735737
CV_potassium_eaten,0.008868642,0.009285606,0.008827713,0.007861697
CV_magnesium_eaten,0.008758989,0.0077213002,0.007591989,0.0070411754
CV_phosphorus_eaten,0.008703969,0.008064605,0.008610175,0.0067740865
salt_eaten,0.008697234,0.00925864,0.011132159,0.009344933
aMED,0.008686406,0.0077853934,0.0124082025,0.008127601
water_fg_eaten,0.008602593,0.01083825,0.008860551,0.009538388
CV_fiber_eaten,0.008567704,0.007315863,0.0074102585,0.006789067
CV_calcium_eaten,0.008500977,0.007157807,0.008043066,0.007743378
CV_cholesterol_eaten,0.008484205,0.008106965,0.0083195595,0.007367347
CV_beta_carotene_eaten,0.00847802,0.0075989193,0.008061199,0.007404498
HEI,0.008460335,0.01042198,0.009387122,0.01092086
CV_oils_nuts_fg_eaten,0.00843456,0.009317621,0.0079827765,0.010100236
bread_fg_eaten,0.008428329,0.009432071,0.00995144,0.00916075
grains_cereals_fg_eaten,0.008401276,0.0075651193,0.008671688,0.0068886024
mean_gini_simpson_diversity_kcal,0.008386586,0.009405629,0.0075365305,0.009655381
height,0.008385864,0.008575768,0.007850956,0.009367744
general_hunger_level,0.008322849,0.008821075,0.007324172,0.007890864
dairy_products_meat_fish_eggs_tofu,0.008271544,0.0076537393,0.0084219165,0.008029121
CV_salt_eaten,0.008202898,0.0071578054,0.0074388743,0.0072029894
weight,0.008116084,0.008834896,0.008682564,0.008119844
vitamin_b2_eaten,0.00811515,0.008065438,0.007501147,0.00790966
CV_water_fg_eaten,0.008110514,0.00769061,0.007277468,0.0075799203
evening_hunger_level,0.008072189,0.008166391,0.008233717,0.006341643
iron_eaten,0.008014256,0.008838754,0.009886302,0.008093825
fat_eaten,0.007970662,0.0074865823,0.007760556,0.007371685
mid_hunger_level,0.007966786,0.009664778,0.009461048,0.008557247
gender,0.007929121,0.0066850213,0.0070806905,0.0077369236
fatty_acids_monounsaturated_eaten,0.007917984,0.008025499,0.007308581,0.007939758
