,HEI,aMED,DASH,mean_dds,mean_shannon_diversity_kcal,mean_berger_parker_kcal,mean_simpson_diversity_kcal,mean_gini_simpson_diversity_kcal,mean_quantidd_kcal,mean_mfad_jaccard_kcal,protein_eaten,fat_eaten,carb_eaten,fiber_eaten,alcohol_eaten,beta_carotene_eaten,folate_eaten,iron_eaten,magnesium_eaten,niacin_eaten,pantothenic_acid_eaten,cholesterol_eaten,fatty_acids_monounsaturated_eaten,fatty_acids_polyunsaturated_eaten,fatty_acids_saturated_eaten,calcium_eaten,phosphorus_eaten,potassium_eaten,sodium_eaten,zinc_eaten,vitamin_b1_eaten,vitamin_b12_eaten,vitamin_b2_eaten,vitamin_b6_eaten,vitamin_c_eaten,vitamin_d_eaten,salt_eaten,sugar_eaten,meat_fg_eaten,fruits_fg_eaten,vegetables_fg_eaten,dairy_fg_eaten,bread_fg_eaten,oils_nuts_fg_eaten,coffee_fg_eaten,others_fg_eaten,sugary_fg_eaten,grains_cereals_fg_eaten,fast_food_fg_eaten,water_fg_eaten,tea_fg_eaten,alcohol_fg_eaten,vegan_fg_eaten,CV_HEI,CV_energy_kcal_eaten,CV_energy_kj_eaten,CV_carb_eaten,CV_fat_eaten,CV_protein_eaten,CV_fiber_eaten,CV_alcohol_eaten,CV_beta_carotene_eaten,CV_calcium_eaten,CV_cholesterol_eaten,CV_fatty_acids_monounsaturated_eaten,CV_fatty_acids_polyunsaturated_eaten,CV_fatty_acids_saturated_eaten,CV_folate_eaten,CV_iron_eaten,CV_magnesium_eaten,CV_niacin_eaten,CV_pantothenic_acid_eaten,CV_phosphorus_eaten,CV_potassium_eaten,CV_salt_eaten,CV_sodium_eaten,CV_sugar_eaten,CV_vitamin_b1_eaten,CV_vitamin_b12_eaten,CV_vitamin_b2_eaten,CV_vitamin_b6_eaten,CV_vitamin_c_eaten,CV_vitamin_d_eaten,CV_zinc_eaten,CV_meat_fg_eaten,CV_fruits_fg_eaten,CV_vegetables_fg_eaten,CV_dairy_fg_eaten,CV_sugary_fg_eaten,CV_oils_nuts_fg_eaten,CV_coffee_fg_eaten,CV_grains_cereals_fg_eaten,CV_others_fg_eaten,CV_fast_food_fg_eaten,CV_bread_fg_eaten,CV_vegan_fg_eaten,CV_water_fg_eaten,CV_alcohol_fg_eaten,CV_tea_fg_eaten,age,bmi,bmr,height,weight,language,urbanity,swiss_citizen,eaten_quantity_in_gram,energy_kcal_eaten,dairy_products_meat_fish_eggs_tofu,vegetables_fruits,sweets_salty_snacks_alcohol,non_alcoholic_beverages,grains_potatoes_pulses,oils_fats_nuts
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_J;s__Eubacterium_J plexicaudatum,0.005489272,0.0029566674,,0.004614968,0.0034362534,0.0042498996,0.0041394425,0.004158223,0.0035800412,,,,0.0033318666,,,,0.0030036643,,,,,,,0.0037828414,,,,,0.0042732744,,,,,,0.0028456869,,,,,,,,,0.007295343,,,,,0.005962382,,,,,0.0030913297,,,,0.0029484618,,,,,,,0.0030113426,,,,,,,,0.0026496726,0.003025569,,,,,,,,,,,,0.0032842774,,,,0.006980414,,,,0.0036216164,,,,,,,,,,,,,,,,,0.0034181648,,,,0.006322789
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia;s__Marvinbryantia sp900066075,0.0053330734,0.0033160087,0.002996305,,,,,,0.0034216277,,,,,0.0036647036,,0.0029396256,0.0047883308,0.0039965007,0.0052218046,,,,,0.0029315795,,0.0013538499,0.0031852534,0.004409031,,,,,,,,,,,,,0.004121187,,,0.003426204,,,,,,,0.0013237084,,,0.0038262245,,,,,,,,,,,,0.0029975767,,,,,,,,,,0.0028906763,,,,,,,,,,,0.003006675,,,0.003849633,,,,0.0034602312,,,,,,0.0029848488,,,,,,,,,,,0.004852525,,,,0.0033422688
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__CAG-194;s__CAG-194 sp000432915,0.0052143103,0.003131154,,,0.0031662323,0.00395239,0.0032571806,0.0031608066,0.0028872099,,,,,0.003700108,,,0.004738828,,,,,,,,,0.0027946222,,0.0029415302,,,,,,,0.004583015,,,,,0.0030621756,,,,0.003389523,,,,,0.003104154,,,,,0.0033171207,,,,,,,,0.002859197,,,,,,,,,,,,,,,,0.0027509846,,,,,0.0012692458,,,0.004624526,,,,0.0038769771,,,,0.003404744,,,,,,,,,,,,,,,,,0.006549786,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__TANB77;f__CAG-508;g__CAG-269;s__CAG-269 sp000431335,0.004807763,0.0028670584,,0.003026254,0.0031834117,,0.0033221967,0.003304632,,0.0028923443,,,,0.0038875644,,,0.0031806938,,0.0032448312,,,,,,,,,,,,,,,,,,,,,0.0032792995,,,,0.0032424715,,,,,,,,,,,,,,,,,,,,,0.0027868352,,,,,,0.0033993542,,,,,,,,,,,0.0030037905,,0.0013155505,,0.0029775796,,,,,,,,,,,,,,,,,,,,,,,,,0.0046000574,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__,0.0040031224,,,,,0.002804656,,,,,,,,0.0039577438,,,0.0034844666,,,,,,,,,,,0.0030359868,,,,,,,,,,,,,0.0035721115,,,,,,,,,,,,,,,,,,,,,0.0028576069,,,,,,,,,,,,,,,,,,,,,,,,,0.003264423,,,0.0031610832,,,,,,,,,,,,,,,,,,,,,0.0036647157,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Bariatricus;s__Coprococcus comes,0.0038140253,,0.004067704,,,,,0.001343811,,,0.0041386057,0.0029850584,,,,,0.0031323112,,,,,,0.0030010813,,0.0036024447,,,,,0.0037477291,,0.0027305563,,,,,0.0035843742,,0.004369702,,,0.0028773602,,,,,,,,,0.0027459553,,,,,,,,,,,,,0.0028925168,,,,,,,,,,,,,,,0.0030519874,,,,,,0.0034013782,0.0029834295,0.0030265683,,,,,,,,,0.0027641482,,,,,0.0035402405,0.004860338,,0.00446607,,,,,,0.004551973,0.0033381581,0.003072213,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Christensenellales;f__CAG-74;g__SFMI01;s__,0.0037739263,,,,,,,,,,,,,,,0.003482298,0.0014701928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030930047,,,,,0.0034132032,,,,0.0029397772,0.0029389812,,,,,,,,,,,,,,0.0029457356,,,,,,,,,0.0029702573,0.0034735927,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter;s__Butyribacter sp001916135,0.0037309944,0.0036744077,,,0.0036161144,0.003218505,0.0031888215,0.0032884288,0.0034187902,,,,,0.0036084368,,,,0.003234821,0.0029911886,,,,,,,,,,,,,,,,0.0031979876,,,,,,0.0035119154,,,0.0030889995,,,,,0.0033818663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0030953607,,,,0.0034418795,,,,,,,,,,,,,,0.0030742744,,,,,,,,,,,0.0041752364,,,,0.0030589236
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__UBA737 sp900547445,0.0036471123,,,,,,0.0028948234,0.0029200213,,0.0029313518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029503196,,,,,,,,,,,,,,,,0.0032956137,,,,0.0029222062,,,,,,,,0.0028487141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Lachnospiraceae;g__Ventrimonas;s__Ventrimonas sp003481825,0.003571976,,0.0032925853,,,,,,,,,,,0.004253282,,,0.0035578045,0.0030267106,0.003661112,,,,,,,,,,,,,,,,0.0034431976,,,,,,0.0032338342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029227212,,,,,,,,,,,,,,,0.0036883075,,,,0.0032622688
